conversacion_id,lead_id,fecha_inicio
CONV-00648,LD-99188,2026-08-15 11:00:00
CONV-00650,LD-95231,2026-08-15 11:00:00
CONV-00641,LD-98570,2026-08-15 11:00:00
CONV-00643,LD-96391,2026-08-15 11:00:00
CONV-00647,LD-90301,2026-08-15 11:00:00
CONV-00646,LD-91440,2026-08-15 11:00:00
CONV-00642,LD-91598,2026-08-15 11:00:00
CONV-00652,LD-94638,2026-08-15 11:00:00
CONV-00651,LD-93917,2026-08-15 11:00:00
CONV-00649,LD-91911,2026-08-15 11:00:00
CONV-00645,LD-98483,2026-08-15 11:00:00
CONV-00644,LD-99235,2026-08-15 11:00:00
