archivo,registros,columna,tipo_inferido,nulos,pct_nulos,valores_unicos,ejemplo
leads.csv,1503,lead_id,identificador,0,0.0,1501,LD-00011 | LD-00251
leads.csv,1503,fecha_registro,fecha,0,0.0,1319,09-08-2026 | 31-08-2026
leads.csv,1503,canal,texto,1,0.07,9,WhatsApp | Meta Ads
leads.csv,1503,empresa_id,identificador,0,0.0,3,EMP-02 | EMP-01
leads.csv,1503,punto_venta_id,identificador,0,0.0,15,PV-008 | PV-014
leads.csv,1503,nombre_cliente,texto,0,0.0,1442,Nelson Rodríguez Castaño | Marcela Muñoz Valencia
leads.csv,1503,telefono,texto,0,0.0,1466,315 229 3701 | 3176036920
leads.csv,1503,email,texto,700,46.57,802,marcela.munoz15@yahoo.es | claudia.agudelo22@hotmail.com
leads.csv,1503,ciudad,texto,79,5.26,36,Medellín | Bogotá D.C.
leads.csv,1503,modelo_interes_texto,texto,80,5.32,190,Honda Navi | Bajaj Boxer CT 100
leads.csv,1503,estado_gestion,texto,0,0.0,10,Contactado | Sin gestión
leads.csv,1503,fecha_primer_contacto,fecha,487,32.4,848,26-08-2026 | 25-08-2026
leads.csv,1503,campania,texto,434,28.88,5,Feria de Motos 2026 | Agosto Cero Cuotas
catalogo_motos.csv,24,sku,identificador,0,0.0,24,SKU-001 | SKU-002
catalogo_motos.csv,24,marca,texto,0,0.0,5,Honda | Bajaj
catalogo_motos.csv,24,linea,texto,0,0.0,24,CB 125F Twister | XR 150L
catalogo_motos.csv,24,cilindraje,entero,0,0.0,14,125 | 110
catalogo_motos.csv,24,segmento,texto,0,0.0,5,Trabajo | Deportiva
catalogo_motos.csv,24,precio_lista,entero,0,0.0,24,7990000 | 11490000
catalogo_motos.csv,24,puntos_venta_disponibles,texto,0,0.0,24,PV-001|PV-003|PV-006|PV-007|PV-008|PV-009|PV-010|PV-011|PV-015 | PV-002|PV-004|PV-012|PV-015
catalogo_motos.csv,24,unidades_disponibles,entero,0,0.0,16,12 | 10
asesores.csv,42,asesor_id,identificador,0,0.0,42,AS-001 | AS-002
asesores.csv,42,nombre,texto,0,0.0,42,Édinson Mosquera Pérez | Andrés Felipe Bedoya Salazar
asesores.csv,42,punto_venta_id,identificador,0,0.0,15,PV-001 | PV-002
asesores.csv,42,empresa_id,identificador,0,0.0,3,EMP-01 | EMP-03
asesores.csv,42,capacidad_diaria_leads,entero,0,0.0,5,20 | 15
asesores.csv,42,activo,booleano,0,0.0,2,SI | NO
asesores.csv,42,fecha_ingreso,fecha,0,0.0,42,2026-02-27 | 2025-02-10
historico_cierres.csv,2200,lead_id,identificador,0,0.0,2200,HX-00001 | HX-00002
historico_cierres.csv,2200,fecha_registro,fecha,0,0.0,150,2026-05-05 | 2026-03-24
historico_cierres.csv,2200,canal,texto,0,0.0,3,WhatsApp | Meta Ads
historico_cierres.csv,2200,empresa_id,identificador,0,0.0,3,EMP-01 | EMP-03
historico_cierres.csv,2200,punto_venta_id,identificador,0,0.0,15,PV-001 | PV-015
historico_cierres.csv,2200,modelo_cotizado,texto,0,0.0,24,Bajaj Pulsar NS 125 | Honda XR 150L
historico_cierres.csv,2200,precio_lista,entero,0,0.0,24,8990000 | 11490000
historico_cierres.csv,2200,horas_al_primer_contacto,texto,179,8.14,10,2 | 4
historico_cierres.csv,2200,numero_contactos,entero,0,0.0,8,5 | 7
historico_cierres.csv,2200,manifesto_cuota_inicial,texto,0,0.0,3,SI | NO
historico_cierres.csv,2200,forma_pago_declarada,texto,0,0.0,3,credito | no_informa
historico_cierres.csv,2200,pidio_cita,booleano,0,0.0,2,NO | SI
historico_cierres.csv,2200,desenlace,texto,0,0.0,3,Perdido | Cerrado
